breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
6,AZ_APS_E,2068,1213.9689,7263336
7,AZ_APS_E,2068,1248.8130,7271113
8,AZ_APS_E,2068,1634.5481,7280030
9,AZ_APS_E,2068,999999999.0000,
1,AZ_APS_E,2069,1.8640,681448
2,AZ_APS_E,2069,3.8482,996270
3,AZ_APS_E,2069,4.4504,4126082
4,AZ_APS_E,2069,4.7604,7228078
5,AZ_APS_E,2069,565.1593,7252959
6,AZ_APS_E,2069,1213.9689,7263336
7,AZ_APS_E,2069,1248.8130,7271113
8,AZ_APS_E,2069,1634.5481,7280030
9,AZ_APS_E,2069,999999999.0000,
1,AZ_APS_E,2070,1.8640,681448
2,AZ_APS_E,2070,3.8482,996270
3,AZ_APS_E,2070,4.4504,4126082
4,AZ_APS_E,2070,4.7604,7228078
5,AZ_APS_E,2070,565.1593,7252959
6,AZ_APS_E,2070,1213.9689,7263336
7,AZ_APS_E,2070,1248.8130,7271113
8,AZ_APS_E,2070,1634.5481,7280030
9,AZ_APS_E,2070,999999999.0000,
1,AZ_APS_N,2007,1.7017,853662
2,AZ_APS_N,2007,4.2553,7784944
3,AZ_APS_N,2007,927.0409,7787794
4,AZ_APS_N,2007,2030.0002,7795199
5,AZ_APS_N,2007,4363.4675,7798287
6,AZ_APS_N,2007,4481.2158,7800601
7,AZ_APS_N,2007,5863.1334,7803255
8,AZ_APS_N,2007,999999999.0000,
1,AZ_APS_N,2008,1.7017,853662
2,AZ_APS_N,2008,4.2334,994236
3,AZ_APS_N,2008,4.2611,7770439
